Description,Replace,ID,Str
공용 연결 해제 텍스트,0,C_DISCONNECT_TEXT,연결 해제
공용 로드 텍스트,0,C_LOAD_TEXT,불러오기
공용 저장 텍스트,0,C_SAVE_TEXT,저장하기
공용 이어하기 텍스트,0,C_CONTINUE_TEXT,이어하기
공용 알림 텍스트,0,C_NOTI_TEXT,알림
공용 평가 텍스트,0,C_REVIEW_TEXT,평가
공용 지원 텍스트,0,C_SUPPORTS_TEXT,문의
공용 배경음 텍스트,0,C_BG_SND_TEXT,배경음
공용 효과음 텍스트,0,C_FX_SNDS_TEXT,효과음
공용 광고 시청 텍스트,0,C_WATCH_ADS_TEXT,광고 시청
공용 광고 제거 텍스트,0,C_REMOVE_ADS_TEXT,광고 제거
공용 결제 복원 텍스트,0,C_RESTORE_PAYMENT_TEXT,결제 복원
공용 레벨 텍스트,0,C_LEVEL_TEXT,레벨
공용 스테이지 텍스트,0,C_STAGE_TEXT,스테이지
공용 챕터 텍스트,0,C_CHAPTER_TEXT,챕터
공용 설정 텍스트,0,C_SETTINGS_TEXT,설정
공용 일일 미션 텍스트,0,C_DAILY_MISSION_TEXT,일일 미션
공용 무료 보상 텍스트,0,C_FREE_REWARD_TEXT,무료 보상
공용 일일 보상 텍스트,0,C_DAILY_REWARD_TEXT,일일 보상
공용 코인 상자 텍스트,0,C_COINS_BOX_TEXT,코인 상자
공용 재개 텍스트,0,C_RESUME_TEXT,다시하기
공용 정지 텍스트,0,C_PAUSE_TEXT,일시정지
공용 초보자 패키지 텍스트,0,C_BEGINNER_PKGS_TEXT,초보자 패키지
공용 숙련자 패키지 텍스트,0,C_EXPERT_PKGS_TEXT,전문가 패키지
공용 프로 패키지 텍스트,0,C_PRO_PKGS_TEXT,프로 패키지
공용 레벨 번호 텍스트 형식,0,C_LEVEL_NUM_TEXT_FMT,레벨 {0}
공용 스테이지 번호 텍스트 형식,0,C_STAGE_NUM_TEXT_FMT,스테이지 {0}
공용 챕터 번호 텍스트 형식,0,C_CHAPTER_NUM_TEXT_FMT,챕터 {0}
공용 레벨 페이지 텍스트 형식,0,C_LEVEL_PAGE_TEXT_FMT,레벨 {0}/{1}
공용 스테이지 페이지 텍스트 형식,0,C_STAGE_PAGE_TEXT_FMT,스테이지 {0}/{1}
공용 챕터 페이지 텍스트 형식,0,C_CHAPTER_PAGE_TEXT_FMT,챕터 {0}/{1}
공용 A 세트 설정 메세지,0,C_SETUP_A_SET_MSG,A 세트를 설정하시겠습니까?
공용 B 세트 설정 메세지,0,C_SETUP_B_SET_MSG,B 세트를 설정하시겠습니까?
공용 로그인 성공 메세지,0,C_ON_LOGIN_MSG,로그인했습니다
공용 로그인 실패 메세지,0,C_ON_LOGIN_FAIL_MSG,로그인에 실패했습니다
공용 로그아웃 성공 메세지,0,C_ON_LOGOUT_MSG,로그아웃했습니다
공용 로그아웃 실패 메세지,0,C_ON_LOGOUT_FAIL_MSG,로그아웃에 실패했습니다
공용 로드 성공 메세지,0,C_ON_LOAD_MSG,진행 상황을 로드했습니다
공용 로드 실패 메세지,0,C_ON_LOAD_FAIL_MSG,진행 상황 로드에 실패했습니다
공용 저장 성공 메세지,0,C_ON_SAVE_MSG,진행 상황을 저장했습니다
공용 저장 실패 메세지,0,C_ON_SAVE_FAIL_MSG,진행 상황 저장에 실패했습니다
공용 결제 성공 메세지,0,C_ON_PURCHASE_MSG,해당 상품을 구입했습니다
공용 결제 실패 메세지,0,C_ON_PURCHASE_FAIL_MSG,해당 상품 구입에 실패했습니다
공용 복원 성공 메세지,0,C_ON_RESTORE_MSG,상품을 복원했습니다
공용 복원 실패 메세지,0,C_ON_RESTORE_FAIL_MSG,상품 복원에 실패했습니다
공용 테이블 로드 성공 메세지,0,C_ON_TABLE_LOAD_MSG,테이블을 로드했습니다
공용 테이블 로드 실패 메세지,0,C_ON_TABLE_LOAD_FAIL_MSG,테이블 로드에 실패했습니다
